,tr,label
2,<http://example/Treatment/treatment1>,0
6,<http://example/Treatment/treatment3>,0
8,<http://example/Treatment/treatment4>,0
10,<http://example/Treatment/treatment5>,0
14,<http://example/Treatment/treatment7>,0
16,<http://example/Treatment/treatment8>,0
24,<http://example/Treatment/treatment12>,0
26,<http://example/Treatment/treatment13>,0
28,<http://example/Treatment/treatment14>,0
32,<http://example/Treatment/treatment16>,0
34,<http://example/Treatment/treatment17>,0
38,<http://example/Treatment/treatment19>,0
40,<http://example/Treatment/treatment20>,0
42,<http://example/Treatment/treatment21>,0
46,<http://example/Treatment/treatment23>,0
48,<http://example/Treatment/treatment24>,0
50,<http://example/Treatment/treatment25>,0
52,<http://example/Treatment/treatment26>,0
54,<http://example/Treatment/treatment27>,0
56,<http://example/Treatment/treatment28>,0
58,<http://example/Treatment/treatment29>,0
62,<http://example/Treatment/treatment31>,0
64,<http://example/Treatment/treatment32>,0
68,<http://example/Treatment/treatment34>,0
70,<http://example/Treatment/treatment35>,0
72,<http://example/Treatment/treatment36>,0
74,<http://example/Treatment/treatment37>,0
76,<http://example/Treatment/treatment38>,0
80,<http://example/Treatment/treatment40>,0
82,<http://example/Treatment/treatment41>,0
84,<http://example/Treatment/treatment42>,0
86,<http://example/Treatment/treatment43>,0
88,<http://example/Treatment/treatment44>,0
90,<http://example/Treatment/treatment45>,0
92,<http://example/Treatment/treatment46>,0
94,<http://example/Treatment/treatment47>,0
96,<http://example/Treatment/treatment48>,0
98,<http://example/Treatment/treatment49>,0
100,<http://example/Treatment/treatment50>,0
102,<http://example/Treatment/treatment51>,0
104,<http://example/Treatment/treatment52>,0
106,<http://example/Treatment/treatment53>,0
112,<http://example/Treatment/treatment56>,0
114,<http://example/Treatment/treatment57>,0
116,<http://example/Treatment/treatment58>,0
118,<http://example/Treatment/treatment59>,0
120,<http://example/Treatment/treatment60>,0
122,<http://example/Treatment/treatment61>,0
124,<http://example/Treatment/treatment62>,0
128,<http://example/Treatment/treatment64>,0
130,<http://example/Treatment/treatment65>,0
132,<http://example/Treatment/treatment66>,0
134,<http://example/Treatment/treatment67>,0
