,tr,label
0,<http://example/Treatment/treatment0>,0
2,<http://example/Treatment/treatment1>,0
4,<http://example/Treatment/treatment2>,0
6,<http://example/Treatment/treatment3>,0
8,<http://example/Treatment/treatment4>,0
12,<http://example/Treatment/treatment6>,0
14,<http://example/Treatment/treatment7>,0
16,<http://example/Treatment/treatment8>,0
18,<http://example/Treatment/treatment9>,0
20,<http://example/Treatment/treatment10>,0
22,<http://example/Treatment/treatment11>,0
24,<http://example/Treatment/treatment12>,0
26,<http://example/Treatment/treatment13>,0
28,<http://example/Treatment/treatment14>,0
32,<http://example/Treatment/treatment16>,0
34,<http://example/Treatment/treatment17>,0
36,<http://example/Treatment/treatment18>,0
38,<http://example/Treatment/treatment19>,0
40,<http://example/Treatment/treatment20>,0
42,<http://example/Treatment/treatment21>,0
46,<http://example/Treatment/treatment23>,0
48,<http://example/Treatment/treatment24>,0
50,<http://example/Treatment/treatment25>,0
52,<http://example/Treatment/treatment26>,0
54,<http://example/Treatment/treatment27>,0
56,<http://example/Treatment/treatment28>,0
60,<http://example/Treatment/treatment30>,0
62,<http://example/Treatment/treatment31>,0
64,<http://example/Treatment/treatment32>,0
66,<http://example/Treatment/treatment33>,0
68,<http://example/Treatment/treatment34>,0
72,<http://example/Treatment/treatment36>,0
74,<http://example/Treatment/treatment37>,0
76,<http://example/Treatment/treatment38>,0
78,<http://example/Treatment/treatment39>,0
80,<http://example/Treatment/treatment40>,0
84,<http://example/Treatment/treatment42>,0
86,<http://example/Treatment/treatment43>,0
88,<http://example/Treatment/treatment44>,0
90,<http://example/Treatment/treatment45>,0
92,<http://example/Treatment/treatment46>,0
94,<http://example/Treatment/treatment47>,0
96,<http://example/Treatment/treatment48>,0
98,<http://example/Treatment/treatment49>,0
102,<http://example/Treatment/treatment51>,0
104,<http://example/Treatment/treatment52>,0
108,<http://example/Treatment/treatment54>,0
110,<http://example/Treatment/treatment55>,0
112,<http://example/Treatment/treatment56>,0
114,<http://example/Treatment/treatment57>,0
116,<http://example/Treatment/treatment58>,0
118,<http://example/Treatment/treatment59>,0
124,<http://example/Treatment/treatment62>,0
126,<http://example/Treatment/treatment63>,0
130,<http://example/Treatment/treatment65>,0
134,<http://example/Treatment/treatment67>,0
136,<http://example/Treatment/treatment68>,0
138,<http://example/Treatment/treatment69>,0
142,<http://example/Treatment/treatment71>,0
144,<http://example/Treatment/treatment72>,0
148,<http://example/Treatment/treatment74>,0
150,<http://example/Treatment/treatment75>,0
152,<http://example/Treatment/treatment76>,0
154,<http://example/Treatment/treatment77>,0
156,<http://example/Treatment/treatment78>,0
158,<http://example/Treatment/treatment79>,0
162,<http://example/Treatment/treatment81>,0
166,<http://example/Treatment/treatment83>,0
168,<http://example/Treatment/treatment84>,0
